DateTime;MESQuality,Density_Max;AltBom;DietCode;Density_Min;Target;OUT;PV;SP
12/02/2023 12:00:00 PM;560;011-00;BK24086M;496;528;54;9000;9000
12/02/2023 12:00:00 PM;472;011-00;BK24705M;408;440;38;7000;7000
12/02/2023 12:00:00 PM;432;011-00;BK25036M;368;400;61;9500;9500
12/02/2023 12:00:00 PM;432;021-00;BK25352M;368;400;48;7700;7700
12/02/2023 12:00:00 PM;432;021-00;BK25529M;368;400;55;8000;8000
12/02/2023 12:00:00 PM;464;011-00;BK25634M;400;432;41;6500;6500
12/02/2023 12:00:00 PM;464;011-00;BK25635M;400;432;40;6500;6500
12/02/2023 12:00:00 PM;464;011-00;BK25831M;400;432;48;8000;8000
12/02/2023 12:00:00 PM;560;011-00;BK27073M;496;528;54;8500;8500
12/02/2023 12:00:00 PM;464;011-00;BK27078M;400;432;44;8000;8000
12/02/2023 12:00:00 PM;416;011-00;BK27276M;352;384;56;8800;8800
12/02/2023 12:00:00 PM;464;011-00;BK27404M;400;432;50;8000;8000
12/02/2023 12:00:00 PM;488;021-00;BK27565M;424;456;50;7500;7500
12/02/2023 12:00:00 PM;488;011-00;BK28011M;424;456;64;10000;10000
12/02/2023 12:00:00 PM;472;021-00;BK28322M;408;440;45;8000;8000
12/02/2023 12:00:00 PM;488;011-00;BK29847M;424;456;64;10000;10000
12/02/2023 12:00:00 PM;408;011-00;BK32348M;344;376;37;7000;7000
12/02/2023 12:00:00 PM;448;011-00;BK32543M;384;416;63;10000;10000
12/02/2023 12:00:00 PM;488;011-00;BK32715M;424;456;62;10000;10000
12/02/2023 12:00:00 PM;488;011-00;BK32924M;424;456;57;9000;9000
12/02/2023 12:00:00 PM;472;011-00;BK33187M;408;440;57;8800;8800
12/02/2023 12:00:00 PM;560;011-00;BK33725M;496;528;54;8500;8500
12/02/2023 12:00:00 PM;488;011-00;BK34182M;424;456;58;9000;9000
12/02/2023 12:00:00 PM;488;011-00;BK34390M;424;456;38;7000;7000
12/02/2023 12:00:00 PM;488;011-00;BK34513M;424;456;57;7000;7000
12/02/2023 12:00:00 PM;464;011-00;BK34568M;400;432;45;7000;7000
12/02/2023 12:00:00 PM;488;011-00;BK34683M;424;456;40;7000;7000
12/02/2023 12:00:00 PM;464;011-00;BK34827M;400;432;50;8000;8000
12/02/2023 12:00:00 PM;448;011-00;BK34898M;384;416;64;10000;10000
